rank,year365,year366,13aqi,13pm2.5,13img,14aqi,14pm2.5,14img,15aqi,15pm2.5,15img,16aqi,16pm2.5,16img,17aqi,17pm2.5,17img,18aqi,18pm2.5,18img
353,12/19,12/18,20000,16,img/2013 (353).jpg,77,56.5,img/2014 (353).jpg,264,214,img/2015 (353).jpg,296,246,img/2016 (353).jpg,32,8,img/2017 (353).jpg,43,25,img/2018 (353).jpg
354,12/20,12/19,20000,40,img/2013 (354).jpg,29,8.2,img/2014 (354).jpg,276,226,img/2015 (354).jpg,227,177,img/2016 (354).jpg,27,10,img/2017 (354).jpg,56,94,img/2018 (354).jpg
355,12/21,12/20,20000,26,img/2013 (355).jpg,19,7.2,img/2014 (355).jpg,227,177,img/2015 (355).jpg,387,337,img/2016 (355).jpg,60,38,img/2017 (355).jpg,124,93,img/2018 (355).jpg
356,12/22,12/21,20000,62,img/2013 (356).jpg,180,135.7,img/2014 (356).jpg,260,210,img/2015 (356).jpg,385,335,img/2016 (356).jpg,101,76,img/2017 (356).jpg,123,8,img/2018 (356).jpg
357,12/23,12/22,20000,124,img/2013 (357).jpg,73,53.5,img/2014 (357).jpg,384,334,img/2015 (357).jpg,15,2,img/2016 (357).jpg,34,19,img/2017 (357).jpg,55,27,img/2018 (357).jpg
358,12/24,12/23,20000,332,img/2013 (358).jpg,45,14,img/2014 (358).jpg,43,30,img/2015 (358).jpg,24,17,img/2016 (358).jpg,59,18,img/2017 (358).jpg,65,24,img/2018 (358).jpg
359,12/25,12/24,20000,265,img/2013 (359).jpg,26,11,img/2014 (359).jpg,481,518,img/2015 (359).jpg,200,150,img/2016 (359).jpg,32,9,img/2017 (359).jpg,66,4,img/2018 (359).jpg
360,12/26,12/25,20000,18,img/2013 (360).jpg,208,158.1,img/2014 (360).jpg,454,431,img/2015 (360).jpg,183,138,img/2016 (360).jpg,26,8,img/2017 (360).jpg,15,20001,img/2018 (360).jpg
361,12/27,12/26,20000,18,img/2013 (361).jpg,294,244.2,img/2014 (361).jpg,47,33,img/2015 (361).jpg,101,76,img/2016 (361).jpg,71,52,img/2017 (361).jpg,20000,20001,img/2018 (361).jpg
362,12/28,12/27,20000,17,img/2013 (362).jpg,322,271.9,img/2014 (362).jpg,108,81,img/2015 (362).jpg,34,21,img/2016 (362).jpg,79,58,img/2017 (362).jpg,20000,20001,img/2018 (362).jpg
363,12/29,12/28,20000,60,img/2013 (363).jpg,260,210,img/2014 (363).jpg,375,325,img/2015 (363).jpg,233,183,img/2016 (363).jpg,222,172,img/2017 (363).jpg,20000,20001,img/2018 (363).jpg
364,12/30,12/29,20000,21,img/2013 (364).jpg,45,12,img/2014 (364).jpg,29,20,img/2015 (364).jpg,20,8,img/2016 (364).jpg,252,202,img/2017 (364).jpg,20000,20001,img/2018 (364).jpg
365,12/31,12/30,20000,61,img/2013 (365).jpg,32,7.3,img/2014 (365).jpg,33,23,img/2015 (365).jpg,288,238,img/2016 (365).jpg,47,11,img/2017 (365).jpg,20000,20001,img/2018 (365).jpg
366,нч,12/31,20000,20000,img/2013 (366).jpg,20000,20000,img/2014 (366).jpg,20000,20000,img/2015 (366).jpg,409,363,img/2016 (366).jpg,20000,20000,img/2017 (366).jpg,20000,20000,img/2018 (366).jpg
